time_ms,EgoPosition_x,EgoPosition_y,EgoPosition_z,EgoSpeed,EgoRoadID,EgoLaneID,SV_0_ID,SV_0_pos_x,SV_0_pos_y,SV_0_pos_z,SV_0_speed,SV_0_routeID,SV_0_roadID,SV_0_laneID,SV_1_ID,SV_1_pos_x,SV_1_pos_y,SV_1_pos_z,SV_1_speed,SV_1_routeID,SV_1_roadID,SV_1_laneID,SV_2_ID,SV_2_pos_x,SV_2_pos_y,SV_2_pos_z,SV_2_speed,SV_2_routeID,SV_2_roadID,SV_2_laneID,SV_3_ID,SV_3_pos_x,SV_3_pos_y,SV_3_pos_z,SV_3_speed,SV_3_routeID,SV_3_roadID,SV_3_laneID,SV_4_ID,SV_4_pos_x,SV_4_pos_y,SV_4_pos_z,SV_4_speed,SV_4_routeID,SV_4_roadID,SV_4_laneID,SV_5_ID,SV_5_pos_x,SV_5_pos_y,SV_5_pos_z,SV_5_speed,SV_5_routeID,SV_5_roadID,SV_5_laneID,SV_6_ID,SV_6_pos_x,SV_6_pos_y,SV_6_pos_z,SV_6_speed,SV_6_routeID,SV_6_roadID,SV_6_laneID,SV_7_ID,SV_7_pos_x,SV_7_pos_y,SV_7_pos_z,SV_7_speed,SV_7_routeID,SV_7_roadID,SV_7_laneID,
50,65.36203,10.02389,-3032.409,52.05798,:80_7,:80_7_0,49,67.14504,10,-3019.95,59.97,0_55.95,:80_0,:80_0_0,32,68.35799,10,-3004.219,63.59,0_55.95,:80_0,:80_0_1,9,75.72556,10,-3064.398,70.99,0_55.95,:80_0,:80_0_1,23,81.67264,10,-3086.857,69.75,0_55.95,99,99_2,17,58.72415,10,-2958.392,58.47,0_55.95,116,116_1,6,77.6033,10,-3105.797,71.80,0_55.95,99,99_0,38,86.59062,10,-3125.974,70.21,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
100,65.26698,10.02387,-3031.412,52.0714,:80_7,:80_7_0,49,67.00293,10,-3018.819,59.98,0_55.95,:80_0,:80_0_0,32,68.1938,10,-3003.021,63.54,0_55.95,:80_0,:80_0_1,9,75.56633,10,-3063.057,70.95,0_55.95,:80_0,:80_0_1,23,81.50696,10,-3085.54,69.83,0_55.95,99,99_2,6,77.43291,10,-3104.442,71.79,0_55.95,99,99_0,17,58.54883,10,-2957.298,58.14,0_55.95,116,116_1,38,86.42407,10,-3124.649,70.15,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
150,65.12314,10.02386,-3029.929,52.09153,:80_7,:80_7_0,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,
200,65.02376,10.02387,-3028.92,52.10495,:80_7,:80_7_0,49,66.64763,10,-3015.991,59.96,0_55.95,:80_0,:80_0_0,32,67.77537,10,-3000.027,63.51,0_55.95,:80_0,:80_0_1,9,75.16853,10,-3059.708,70.83,0_55.95,:80_0,:80_0_1,23,81.09274,10,-3082.245,69.76,0_55.95,99,99_2,6,77.00726,10,-3101.057,71.68,0_55.95,99,99_0,17,58.11036,10,-2954.562,58.18,0_55.95,116,116_1,38,86.00736,10,-3121.335,70.22,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
250,64.92613,10.02386,-3027.941,52.11614,:80_7,:80_7_0,49,66.50797,10,-3014.88,59.98,0_55.95,:80_0,:80_0_0,32,67.6109,10,-2998.851,63.53,0_55.95,:80_0,:80_0_1,9,75.01235,10,-3058.393,70.80,0_55.95,:80_0,:80_0_1,23,80.93002,10,-3080.951,69.77,0_55.95,99,99_2,6,76.8401,10,-3099.727,71.63,0_55.95,99,99_0,17,57.93806,10,-2953.487,58.33,0_55.95,116,116_1,38,85.84364,10,-3120.033,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
300,64.78279,10.02383,-3026.52,52.14075,:80_7,:80_7_0,49,66.30543,10,-3013.268,59.99,0_55.95,:80_0,:80_0_0,32,67.37231,10,-2997.145,63.52,0_55.95,:80_0,:80_0_1,9,74.786,10,-3056.487,70.78,0_55.95,:80_0,:80_0_1,23,80.70039,10,-3079.072,69.82,0_55.95,:80_0,:80_0_2,6,76.5979,10,-3097.801,71.59,0_55.95,99,99_0,17,57.68752,10,-2951.923,58.16,0_55.95,116,116_1,38,85.60629,10,-3118.145,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
350,64.68933,10.02379,-3025.603,52.15864,:80_7,:80_7_0,49,66.17477,10,-3012.229,59.97,0_55.95,:80_0,:80_0_0,32,67.2184,10,-2996.044,63.58,0_55.95,:80_0,:80_0_1,9,74.64008,10,-3055.258,70.66,0_55.95,:80_0,:80_0_1,23,80.55437,10,-3077.858,69.80,0_55.95,:80_0,:80_0_2,6,76.44171,10,-3096.558,71.58,0_55.95,99,99_0,17,57.52639,10,-2950.918,58.29,0_55.95,116,116_1,38,85.45314,10,-3116.927,70.18,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
400,64.58855,10.02375,-3024.622,52.17654,:80_7,:80_7_0,49,66.03508,10,-3011.117,59.99,0_55.95,:80_0,:80_0_0,32,67.05309,10,-2994.867,63.60,0_55.95,:80_0,:80_0_1,9,74.48418,10,-3053.945,70.73,0_55.95,:80_0,:80_0_1,23,80.39833,10,-3076.561,69.76,0_55.95,:80_0,:80_0_2,6,76.2749,10,-3095.231,71.47,0_55.95,99,99_0,17,57.3536,10,-2949.84,58.48,0_55.95,116,116_1,38,85.28949,10,-3115.625,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
450,64.42549,10.0237,-3023.053,52.20562,:80_7,:80_7_0,49,65.81172,10,-3009.339,59.97,0_55.95,:80_0,:80_0_0,32,66.77385,10,-2992.987,63.54,0_55.95,:80_0,:80_0_1,9,74.235,10,-3051.847,70.62,0_55.95,:80_0,:80_0_1,23,80.15089,10,-3074.487,69.75,0_55.95,:80_0,:80_0_2,6,76.00822,10,-3093.11,71.48,0_55.95,99,99_0,17,57.0775,10,-2948.117,58.42,0_55.95,116,116_1,38,85.02769,10,-3113.543,70.20,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
500,64.31126,10.0237,-3021.967,52.23917,:80_7,:80_7_0,49,65.65608,10,-3008.109,59.99,0_55.95,:80_0,:80_0_0,9,74.06255,10,-3050.395,70.62,0_55.95,:80_0,:80_0_1,32,66.57879,10,-2991.685,63.58,0_55.95,:80_0,:80_0_1,23,79.98022,10,-3073.051,69.75,0_55.95,:80_0,:80_0_2,6,75.82368,10,-3091.643,71.41,0_55.95,99,99_0,17,56.88688,10,-2946.927,58.20,0_55.95,116,116_1,38,84.84649,10,-3112.101,70.10,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
550,64.19194,10.02367,-3020.842,52.26378,:80_7,:80_7_0,49,65.48442,10,-3006.837,60.00,0_55.95,:80_0,:80_0_0,9,73.88426,10,-3048.894,70.57,0_55.95,:80_0,:80_0_1,32,66.37592,10,-2990.339,63.57,0_55.95,:80_0,:80_0_1,23,79.80369,10,-3071.565,69.81,0_55.95,:80_0,:80_0_2,6,75.63292,10,-3090.125,71.42,0_55.95,99,99_0,17,56.68939,10,-2945.695,58.39,0_55.95,116,116_1,38,84.65918,10,-3110.612,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
600,64.08324,10.02367,-3019.826,52.29062,:80_7,:80_7_0,49,65.32623,10,-3005.689,59.96,0_55.95,:80_0,:80_0_0,9,73.72331,10,-3047.539,70.57,0_55.95,:80_0,:80_0_1,32,66.19099,10,-2989.124,63.54,0_55.95,:80_0,:80_0_1,23,79.64425,10,-3070.224,69.77,0_55.95,:80_0,:80_0_2,6,75.46071,10,-3088.756,71.37,0_55.95,99,99_0,17,56.51143,10,-2944.585,58.06,0_55.95,116,116_1,38,84.48989,10,-3109.265,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
650,63.92158,10.02363,-3018.333,52.34878,:80_7,:80_7_0,49,65.09385,10,-3004.004,59.96,0_55.95,:80_0,:80_0_0,9,73.48721,10,-3045.551,70.50,0_55.95,:80_0,:80_0_1,32,65.91908,10,-2987.339,63.54,0_55.95,:80_0,:80_0_1,23,79.40996,10,-3068.252,69.84,0_55.95,:80_0,:80_0_2,6,75.20798,10,-3086.746,71.28,0_55.95,99,99_0,17,56.24974,10,-2942.952,58.32,0_55.95,116,116_1,38,84.24142,10,-3107.289,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
700,63.80661,10.02363,-3017.283,52.38234,:80_7,:80_7_0,49,64.9305,10,-3002.819,59.97,0_55.95,:80_0,:80_0_0,9,73.32133,10,-3044.154,70.42,0_55.95,:80_0,:80_0_1,32,65.72796,10,-2986.085,63.54,0_55.95,:80_0,:80_0_1,23,79.24538,10,-3066.868,69.83,0_55.95,:80_0,:80_0_2,6,75.03046,10,-3085.334,71.26,0_55.95,99,99_0,17,56.06635,10,-2941.808,58.16,0_55.95,116,116_1,38,84.0667,10,-3105.899,70.13,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
750,63.69664,10.02361,-3016.288,52.41589,:80_7,:80_7_0,49,64.77589,10,-3001.697,59.97,0_55.95,:80_0,:80_0_0,9,73.16437,10,-3042.832,70.41,0_55.95,:80_0,:80_0_1,32,65.54706,10,-2984.897,63.58,0_55.95,:80_0,:80_0_1,23,79.08945,10,-3065.556,69.81,0_55.95,:80_0,:80_0_2,6,74.86247,10,-3083.998,71.22,0_55.95,99,99_0,17,55.89222,10,-2940.721,58.31,0_55.95,116,116_1,38,83.90129,10,-3104.583,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
800,63.58061,10.02357,-3015.248,52.45616,:80_7,:80_7_0,49,64.61429,10,-3000.525,60.00,0_55.95,:80_0,:80_0_0,9,73.00042,10,-3041.452,70.39,0_55.95,:80_0,:80_0_1,32,65.35807,10,-2983.656,63.53,0_55.95,:80_0,:80_0_1,23,78.9266,10,-3064.185,69.79,0_55.95,:80_0,:80_0_2,6,74.68703,10,-3082.602,71.21,0_55.95,99,99_0,17,55.71062,10,-2939.588,57.98,0_55.95,116,116_1,38,83.72841,10,-3103.208,70.17,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
850,63.41262,10.02349,-3013.76,52.5255,:80_7,:80_7_0,49,64.38256,10,-2998.85,59.98,0_55.95,:80_0,:80_0_0,9,72.76627,10,-3039.48,70.34,0_55.95,:80_0,:80_0_1,32,65.08398,10,-2981.883,63.55,0_55.95,116,116_2,23,78.69388,10,-3062.227,69.78,0_55.95,:80_0,:80_0_2,6,74.43925,10,-3080.609,71.15,0_55.95,:80_0,:80_0_0,17,55.45078,10,-2937.967,58.29,0_55.95,116,116_1,38,83.48133,10,-3101.243,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
900,63.30015,10.02342,-3012.775,52.57919,:80_7,:80_7_0,49,64.22784,10,-2997.743,59.96,0_55.95,:80_0,:80_0_0,9,72.61166,10,-3038.178,70.24,0_55.95,:80_0,:80_0_1,32,64.89825,10,-2980.712,63.56,0_55.95,116,116_2,23,78.54007,10,-3060.933,69.77,0_55.95,:80_0,:80_0_2,6,74.28033,10,-3079.293,71.14,0_55.95,:80_0,:80_0_0,17,55.27945,10,-2936.897,57.96,0_55.95,116,116_1,38,83.31803,10,-3099.944,70.15,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
950,63.13398,10.02332,-3011.335,52.69998,:80_7,:80_7_0,49,64.00166,10,-2996.127,59.99,0_55.95,:80_0,:80_0_0,9,72.38602,10,-3036.278,70.22,0_55.95,:80_0,:80_0_1,32,64.62701,10,-2979.003,63.51,0_55.95,116,116_2,23,78.31538,10,-3059.042,69.81,0_55.95,:80_0,:80_0_2,6,74.04934,10,-3077.373,71.05,0_55.95,:80_0,:80_0_0,17,55.0286,10,-2935.332,58.29,0_55.95,116,116_1,38,83.07955,10,-3098.048,70.21,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1000,63.01197,10.02329,-3010.288,52.76709,:80_7,:80_7_0,49,63.83002,10,-2994.956,59.97,0_55.95,:80_0,:80_0_0,9,72.22259,10,-3034.902,70.11,0_55.95,:80_0,:80_0_1,32,64.42905,10,-2977.763,63.52,0_55.95,116,116_2,23,78.15245,10,-3057.671,69.83,0_55.95,:80_0,:80_0_2,6,73.8831,10,-3075.981,70.93,0_55.95,:80_0,:80_0_0,17,54.84715,10,-2934.2,58.15,0_55.95,116,116_1,38,82.90661,10,-3096.672,70.11,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1050,62.89212,10.02327,-3009.27,52.84091,:80_7,:80_7_0,49,63.65843,10,-2993.817,59.96,0_55.95,:80_0,:80_0_0,9,72.06366,10,-3033.564,70.13,0_55.95,:80_0,:80_0_1,32,64.23578,10,-2976.557,63.60,0_55.95,116,116_2,23,77.99394,10,-3056.338,69.77,0_55.95,:80_0,:80_0_2,6,73.72233,10,-3074.629,70.93,0_55.95,:80_0,:80_0_0,17,54.6701,10,-2933.095,58.34,0_55.95,116,116_1,38,82.7385,10,-3095.335,70.13,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1100,62.75807,10.02326,-3008.14,52.91697,:80_7,:80_7_0,49,63.46865,10,-2992.558,59.96,0_55.95,:80_0,:80_0_0,9,71.88784,10,-3032.083,70.13,0_55.95,:80_0,:80_0_1,32,64.02185,10,-2975.222,63.58,0_55.95,116,116_2,23,77.81863,10,-3054.863,69.81,0_55.95,:80_0,:80_0_2,6,73.54447,10,-3073.133,70.93,0_55.95,:80_0,:80_0_0,17,54.47456,10,-2931.875,58.00,0_55.95,116,116_1,38,82.55247,10,-3093.855,70.15,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1150,62.57888,10.02332,-3006.648,53.06908,:80_7,:80_7_0,49,63.21807,10,-2990.896,59.98,0_55.95,:80_0,:80_0_0,9,71.64795,10,-3030.131,70.03,0_55.95,:80_0,:80_0_1,32,63.73961,10,-2973.461,63.56,0_55.95,116,116_2,23,77.58726,10,-3052.916,69.75,0_55.95,:80_0,:80_0_2,6,73.3097,10,-3071.159,70.94,0_55.95,:80_0,:80_0_0,17,54.21624,10,-2930.263,58.27,0_55.95,116,116_1,38,82.30683,10,-3091.902,70.17,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1200,62.43339,10.0234,-3005.449,53.14737,:80_7,:80_7_0,49,63.01722,10,-2989.563,59.99,0_55.95,:80_0,:80_0_0,9,71.45347,10,-3028.569,70.02,0_55.95,:80_0,:80_0_1,32,63.51344,10,-2972.05,63.53,0_55.95,116,116_2,23,77.40182,10,-3051.355,69.78,0_55.95,:80_0,:80_0_2,6,73.12178,10,-3069.579,70.84,0_55.95,:80_0,:80_0_0,17,54.00979,10,-2928.975,58.10,0_55.95,116,116_1,38,82.11005,10,-3090.336,70.12,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1250,62.29988,10.02346,-3004.359,53.22566,:80_7,:80_7_0,49,62.83474,10,-2988.353,59.99,0_55.95,:80_0,:80_0_0,9,71.27641,10,-3027.15,69.92,0_55.95,:80_0,:80_0_1,32,63.308,10,-2970.768,63.57,0_55.95,116,116_2,23,77.23337,10,-3049.938,69.80,0_55.95,:80_0,:80_0_2,6,72.95112,10,-3068.143,70.82,0_55.95,:80_0,:80_0_0,17,53.82165,10,-2927.801,58.28,0_55.95,116,116_1,38,81.93129,10,-3088.915,70.17,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1300,62.18647,10.02348,-3003.44,53.30396,:80_7,:80_7_0,49,62.68133,10,-2987.335,59.97,0_55.95,:80_0,:80_0_0,9,71.12646,10,-3025.958,69.93,0_55.95,:80_0,:80_0_1,32,63.13511,10,-2969.689,63.60,0_55.95,116,116_2,23,77.09171,10,-3048.746,69.78,0_55.95,:80_0,:80_0_2,6,72.80775,10,-3066.938,70.73,0_55.95,:80_0,:80_0_0,17,53.6639,10,-2926.817,57.95,0_55.95,116,116_1,38,81.78088,10,-3087.719,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1350,61.99466,10.02351,-3001.901,53.46949,:80_7,:80_7_0,49,62.42215,10,-2985.632,60.00,0_55.95,:80_0,:80_0_0,9,70.87521,10,-3023.964,69.90,0_55.95,:80_0,:80_0_1,32,62.84598,10,-2967.885,63.54,0_55.95,116,116_2,23,76.85466,10,-3046.751,69.77,0_55.95,:80_0,:80_0_2,6,72.56788,10,-3064.92,70.75,0_55.95,:80_0,:80_0_0,17,53.39947,10,-2925.167,58.23,0_55.95,116,116_1,38,81.52936,10,-3085.718,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1400,61.87191,10.02348,-3000.924,53.55449,:80_7,:80_7_0,49,62.25777,10,-2984.555,59.97,0_55.95,:80_0,:80_0_0,9,70.7164,10,-3022.703,69.85,0_55.95,:80_0,:80_0_1,32,62.66315,10,-2966.744,63.60,0_55.95,116,116_2,23,76.70464,10,-3045.489,69.79,0_55.95,:80_0,:80_0_2,6,72.41619,10,-3063.645,70.68,0_55.95,:80_0,:80_0_0,17,53.23148,10,-2924.119,58.08,0_55.95,116,116_1,38,81.37032,10,-3084.453,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1450,61.68588,10.02346,-2999.458,53.682,:80_7,:80_7_0,49,62.00768,10,-2982.939,59.96,0_55.95,116,116_1,9,70.47824,10,-3020.812,69.88,0_55.95,:80_0,:80_0_1,32,62.3887,10,-2965.032,63.58,0_55.95,116,116_2,23,76.47972,10,-3043.596,69.81,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,
1500,61.55902,10.02342,-2998.467,53.76924,:80_7,:80_7_0,49,61.83429,10,-2981.849,59.98,0_55.95,116,116_1,9,70.31772,10,-3019.538,69.72,0_55.95,:80_0,:80_0_1,32,62.20362,10,-2963.877,63.52,0_55.95,116,116_2,23,76.32795,10,-3042.319,69.82,0_55.95,:80_0,:80_0_2,6,72.03547,10,-3060.443,70.60,0_55.95,:80_0,:80_0_0,17,52.81084,10,-2921.494,58.00,0_55.95,116,116_1,38,80.97063,10,-3081.274,70.08,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
1550,61.42419,10.02342,-2997.42,53.85871,:80_7,:80_7_0,49,61.6514,10,-2980.7,59.97,0_55.95,116,116_1,9,70.14871,10,-3018.197,69.66,0_55.95,:80_0,:80_0_1,32,62.00858,10,-2962.66,63.54,0_55.95,116,116_2,23,76.16795,10,-3040.973,69.77,0_55.95,:80_0,:80_0_2,6,71.87398,10,-3059.084,70.54,0_55.95,:80_0,:80_0_0,17,52.63264,10,-2920.382,58.11,0_55.95,116,116_1,38,80.8026,10,-3079.924,70.17,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1600,61.23642,10.02339,-2995.972,53.99517,:80_7,:80_7_0,49,61.39904,10,-2979.114,59.97,0_55.95,116,116_1,9,69.91554,10,-3016.345,69.62,0_55.95,:80_0,:80_0_1,32,61.73941,10,-2960.98,63.60,0_55.95,116,116_2,23,75.94716,10,-3039.115,69.83,0_55.95,:80_0,:80_0_2,6,71.65137,10,-3057.212,70.54,0_55.95,:80_0,:80_0_0,17,52.38621,10,-2918.844,57.95,0_55.95,116,116_1,38,80.57738,10,-3078.058,70.11,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1650,61.09135,10.0234,-2994.861,54.09359,:80_7,:80_7_0,49,61.20583,10,-2977.9,59.96,0_55.95,116,116_1,9,69.73705,10,-3014.928,69.71,0_55.95,:80_0,:80_0_1,32,61.53316,10,-2959.693,63.55,0_55.95,116,116_2,23,75.77803,10,-3037.692,69.83,0_55.95,:80_0,:80_0_2,6,71.48093,10,-3055.779,70.44,0_55.95,:80_0,:80_0_0,17,52.198,10,-2917.67,58.08,0_55.95,116,116_1,38,80.4058,10,-3076.629,70.14,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1700,60.96022,10.02333,-2993.861,54.19873,:80_7,:80_7_0,49,61.0323,10,-2976.81,59.96,0_55.95,116,116_1,9,69.57683,10,-3013.656,69.59,0_55.95,:80_0,:80_0_1,32,61.3479,10,-2958.537,63.59,0_55.95,116,116_2,23,75.62621,10,-3036.415,69.77,0_55.95,:80_0,:80_0_2,6,71.32783,10,-3054.491,70.51,0_55.95,:80_0,:80_0_0,17,52.0284,10,-2916.612,58.25,0_55.95,116,116_1,38,80.25287,10,-3075.345,70.12,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1750,60.76127,10.02328,-2992.351,54.44032,:80_7,:80_7_0,49,60.77087,10,-2975.167,59.96,0_55.95,116,116_1,9,69.33538,10,-3011.74,69.66,0_55.95,:80_0,:80_0_1,32,61.06886,10,-2956.796,63.57,0_55.95,116,116_2,23,75.39759,10,-3034.491,69.81,0_55.95,:80_0,:80_0_2,6,71.09743,10,-3052.554,70.47,0_55.95,:80_0,:80_0_0,17,51.77397,10,-2915.024,58.03,0_55.95,116,116_1,38,80.02322,10,-3073.413,70.10,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1800,60.63737,10.02317,-2991.413,54.50743,:80_7,:80_7_0,49,60.6085,10,-2974.151,59.96,0_55.95,116,116_1,9,69.18621,10,-3010.555,69.55,0_55.95,:80_0,:80_0_1,32,60.89631,10,-2955.719,63.55,0_55.95,116,116_2,23,75.25613,10,-3033.301,69.79,0_55.95,:80_0,:80_0_2,6,70.95486,10,-3051.355,70.46,0_55.95,:80_0,:80_0_0,17,51.616,10,-2914.038,58.21,0_55.95,116,116_1,38,79.88113,10,-3072.217,70.10,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1850,60.42581,10.02305,-2989.815,54.80717,:80_7,:80_7_0,49,60.3319,10,-2972.426,59.96,0_55.95,116,116_1,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,
1900,60.30169,10.02292,-2988.876,54.98166,:80_7,:80_7_0,49,60.17018,10,-2971.416,59.98,0_55.95,116,116_1,9,68.7841,10,-3007.369,69.42,0_55.95,:80_0,:80_0_1,32,60.4315,10,-2952.819,63.54,0_55.95,116,116_2,23,74.86929,10,-3030.097,69.74,0_55.95,:80_0,:80_0_2,6,70.57155,10,-3048.131,70.31,0_55.95,:80_0,:80_0_0,17,51.19165,10,-2911.391,58.05,0_55.95,116,116_1,38,79.49869,10,-3068.999,70.10,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
1950,60.10923,10.02283,-2987.417,55.25903,:80_7,:80_7_0,49,59.91977,10,-2969.854,59.96,0_55.95,116,116_1,9,68.5401,10,-3005.553,69.42,0_55.95,:80_0,:80_0_1,32,60.16623,10,-2951.164,63.52,0_55.95,116,116_2,23,74.64133,10,-3028.269,69.79,0_55.95,:80_0,:80_0_2,6,70.35285,10,-3046.292,70.24,0_55.95,:80_0,:80_0_0,17,50.94889,10,-2909.875,58.22,0_55.95,116,116_1,38,79.28019,10,-3067.161,70.08,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2000,59.97744,10.0228,-2986.416,55.44023,:80_7,:80_7_0,49,59.74852,10,-2968.785,59.98,0_55.95,116,116_1,9,68.37036,10,-3004.313,69.42,0_55.95,:80_0,:80_0_1,32,59.98478,10,-2950.032,63.60,0_55.95,116,116_2,23,74.48528,10,-3027.018,69.76,0_55.95,:80_0,:80_0_2,6,70.20339,10,-3045.035,70.17,0_55.95,:80_0,:80_0_0,17,50.78349,10,-2908.844,58.00,0_55.95,116,116_1,38,79.1307,10,-3065.903,70.12,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2050,59.84352,10.0229,-2985.395,55.62142,:80_7,:80_7_0,49,59.57453,10,-2967.7,59.95,0_55.95,116,116_1,9,68.19733,10,-3003.053,69.36,0_55.95,:80_0,:80_0_1,32,59.80026,10,-2948.88,63.59,0_55.95,116,116_2,23,74.3254,10,-3025.747,69.82,0_55.95,:80_0,:80_0_2,6,70.05164,10,-3043.759,70.22,0_55.95,:80_0,:80_0_0,17,50.61506,10,-2907.793,58.18,0_55.95,116,116_1,38,78.97882,10,-3064.625,70.11,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2100,59.65202,10.02304,-2983.927,55.88985,116,116_0,49,59.32546,10,-2966.146,59.96,0_55.95,116,116_1,9,67.94634,10,-3001.25,69.26,0_55.95,:80_0,:80_0_1,32,59.53625,10,-2947.233,63.60,0_55.95,116,116_2,23,74.09576,10,-3023.927,69.78,0_55.95,:80_0,:80_0_2,6,69.83434,10,-3041.931,70.13,0_55.95,:80_0,:80_0_0,17,50.37419,10,-2906.29,58.01,0_55.95,116,116_1,38,78.76132,10,-3062.795,70.08,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2150,59.51159,10.02319,-2982.844,56.07104,116,116_0,49,59.14251,10,-2965.004,59.96,0_55.95,116,116_1,9,67.76203,10,-2999.932,68.59,0_55.95,:80_0,:80_0_1,32,59.34219,10,-2946.022,63.59,0_55.95,116,116_2,23,73.92709,10,-3022.591,69.76,0_55.95,:80_0,:80_0_2,6,69.67513,10,-3040.592,69.77,0_55.95,:80_0,:80_0_0,17,50.19701,10,-2905.184,58.17,0_55.95,116,116_1,38,78.60167,10,-3061.451,70.07,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2200,59.30395,10.02323,-2981.229,56.335,116,116_0,49,58.87086,10,-2963.309,59.96,0_55.95,116,116_1,9,67.49252,10,-2998.005,67.26,0_55.95,:80_0,:80_0_1,32,59.05426,10,-2944.226,63.56,0_55.95,116,116_2,23,73.67665,10,-3020.607,69.79,0_55.95,:80_0,:80_0_2,6,69.44064,10,-3038.62,69.06,0_55.95,:80_0,:80_0_0,17,49.93438,10,-2903.545,57.99,0_55.95,116,116_1,38,78.36465,10,-3059.457,70.08,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
2250,59.1582,10.02321,-2980.087,56.50948,116,116_0,49,58.67944,10,-2962.115,59.98,0_55.95,116,116_1,9,67.30568,10,-2996.668,66.60,0_55.95,:80_0,:80_0_1,32,58.85133,10,-2942.959,63.59,0_55.95,116,116_2,23,73.50018,10,-3019.209,69.77,0_55.95,:80_0,:80_0_2,6,69.27682,10,-3037.243,68.70,0_55.95,:80_0,:80_0_0,17,49.74897,10,-2902.388,58.16,0_55.95,116,116_1,38,78.19766,10,-3058.052,70.06,0_55.95,:80_0,:80_0_2,0,0,0,0,-99.00,-99,-99,-99,
